FP008425 FAM160B1_1
FP008303 ARHGAP19_1
FP001007 LCE2B_1
FP012715 TLCD1_1
FP004495 GZMA_1
FP006084 ZNRF2_1
FP004467 FBXO4_1
FP009591 NECAP1_1
FP014303 PSMC4_1
FP012146 DRC7_1
FP011992 PRRT2_1
FP012889 KRT13_1
FP006260 PHTF2_1
FP013077 MYCBPAP_1
FP000672 ST6GALNAC5_1
FP011299 SERINC4_1
FP012076 GPT2_1
FP009542 CD27_1
FP015870 ACE2_1
FP003078 SEMA3F_1
FP014916 PCSK2_1
FP012021 ZNF48_1
FP003191 MAGI1_1
FP006590 RAB19_1
FP003389 DNAJB8_1
FP008455 SEC23IP_1
FP002605 CATIP_1
FP008655 TMEM9B_1
FP013167 GH2_1
FP011393 FAM81A_1
FP015411 UBE2G2_1
FP012393 SPIRE2_1
FP012256 COG4_1
FP013485 DSG3_1
FP004910 AFAP1L1_1
FP015566 ASCC2_1
FP005895 RSPH3_1
FP009725 DDX11_1
FP005591 RIMS1_1
FP004305 SAP30_1
FP013170 GH1_1
FP013604 NETO1_1
FP007428 CNTNAP3_1
FP012414 MYO1C_1
FP006977 TRAM1_1
FP012282 ZFHX3_1
FP001694 PXDN_1
FP000953 ECM1_1
FP001547 MARK1_1
FP012115 MT2A_1
FP010731 DCAF11_1
FP015147 SLC13A3_1
FP011128 RCOR1_1
FP004498 MCIDAS_1
FP012569 ALOXE3_1
FP000236 PITHD1_1
FP007970 TRDMT1_1
FP002066 KCMF1_1
FP004713 ALDH7A1_1
FP015222 LSM14B_1
FP007705 ANGPTL2_1
FP010277 PRKAB1_1
FP006095 PPP1R17_1
FP013985 GIPC1_1
FP011392 MYO1E_1
FP013148 METTL2A_1
FP016159 XKRX_1
FP004516 ERCC8_1
FP015694 MGAT3_1
FP004717 MARCH3_1
FP015097 KCNK15_1
FP000840 C1orf162_1
FP003843 KLF3_1
FP004981 ADRA1B_1
FP014488 EHD2_1
FP016396 PNMA3_1
FP009533 GALNT8_1
FP000596 MROH7_1
FP008472 ACADSB_1
FP014810 UBE2M_1
FP011683 FAM234A_1
FP001382 CFHR5_1
FP011012 ZDHHC22_1
FP003886 NIPAL1_1
FP016109 ERCC6L_1
FP001156 AIM2_1
FP012947 VAT1_1
FP009879 MFSD5_1
FP006527 IRF5_1
FP003380 TPRA1_1
FP007446 PTAR1_1
FP010810 TOGARAM1_1
FP012487 USP6_1
FP016106 RGAG4_1
FP002715 UGT1A9_1
FP009135 CTTN_1
FP000109 PEX14_1
FP005560 ELOVL5_1
FP011906 PDILT_1
FP010431 MTIF3_1
FP015991 PCSK1N_1
FP010865 ATG14_1
FP010521 ITM2B_1
FP004637 MCTP1_1
FP015640 IL2RB_1
FP009378 SCN2B_1
FP005868 RMND1_1
FP001825 PLB1_1
FP012027 ZNF764_1
FP014412 ZNF180_1
FP011847 ATF7IP2_1
FP014444 OPA3_1
FP000093 H6PD_1
FP008063 SYT15_1
FP006846 MBOAT4_1
FP008919 FADS2_1
FP013623 HSBP1L1_1
FP002274 TUBA3E_1
FP002249 RALB_1
FP009120 MTL5_1
FP002663 MFF_1
FP003396 RAB43_1
FP012989 DCAKD_1
FP007112 EBAG9_1
FP012424 RPA1_1
FP005928 FRMD1_1
FP010690 RAB2B_1
FP009617 CLEC9A_1
FP015113 SYS1_1
FP012134 PLLP_1
FP009287 DYNC2H1_1
FP014611 KLK12_1
FP014141 PLEKHF1_1
FP005158 HIVEP1_1
FP015118 SPINT3_1
FP002301 ZRANB3_1
FP009784 RND1_1
FP003701 DLG1_1
FP009559 CD4_1
FP016395 PNMA5_1
FP011818 CORO7_1
FP012620 TRIM16_1
FP005267 IER3_1
FP003734 TACC3_1
FP016393 NSDHL_1
FP006859 RNF122_1
FP015330 MRPS6_1
FP012372 PIEZO1_1
FP013265 RECQL5_1
FP003303 GAP43_1
FP012726 CRYBA1_1
FP005457 PGC_1
FP002514 TYW5_1
FP013100 TRIM25_1
FP002383 SPC25_1
FP008890 MS4A13_1
FP000799 C1orf194_1
FP006762 PCM1_1
FP006711 DEFA4_1
FP003614 ABCF3_1
FP006916 SNTG1_1
FP010285 SIRT4_1
FP010583 NDFIP2_1
FP016153 TNMD_1
FP002299 MAP3K19_1
FP002431 HOXD8_1
FP011139 APOPT1_1
FP015968 SYN1_1
FP007129 ENPP2_1
FP006135 DBNL_1
FP016448 VBP1_1
FP004728 LYRM7_1
FP005014 NPM1_1
FP013521 PSTPIP2_1
FP001802 CAD_1
FP001539 RRP15_1
FP012184 B3GNT9_1
FP004461 C7_1
FP000051 ARHGEF16_1
FP005510 HSP90AB1_1
FP008840 PTPRJ_1
FP016186 BEX4_1
FP009246 MTNR1B_1
FP007557 HEMGN_1
FP005329 C4B_1
FP013937 MAN2B1_1
FP013611 ZNF407_1
FP015837 ANOS1_1
FP008406 DUSP5_1
FP010298 ACADS_1
FP002152 TSGA10_1
FP003552 SLITRK3_1
FP003142 SFMBT1_1
FP006076 CHN2_1
FP002479 OSGEPL1_1
FP002694 DIS3L2_1
FP009785 CCDC65_1
FP001947 XPO1_1
FP008022 ARHGAP12_1
FP013653 KISS1R_1
FP012194 SLC9A5_1
FP014276 HNRNPL_1
FP005776 THEMIS_1
FP009610 KLRF1_1
FP016308 GPC4_1
FP013768 KDM4B_1
FP009015 CDCA5_1
FP003319 NR1I2_1
FP014182 FXYD5_1
FP010469 SMAD9_1
FP014416 CEACAM19_1
FP007174 NDRG1_1
FP005614 LCA5_1
FP004867 PCDHGC3_1
FP012619 CDRT1_1
FP009138 NADSYN1_1
FP011887 XYLT1_1
FP007208 ZNF696_1
FP010031 HELB_1
FP008706 SAAL1_1
FP015624 APOL2_1
FP003995 PARM1_1
FP002620 FEV_1
FP003890 SLC10A4_1
FP007519 IPPK_1
FP010713 SLC7A8_1
FP006154 CCM2_1
FP005497 POLR1C_1
FP015610 SYN3_1
FP009681 SLCO1B3_1
FP001080 SLC50A1_1
FP003827 ZCCHC4_1
FP008644 CYB5R2_1
FP001926 C2orf73_1
FP001631 COA6_1
FP016411 L1CAM_1
FP008755 RCN1_1
FP009193 WNT11_1
FP000510 UROD_1
FP000862 BCL2L15_1
FP005609 MYO6_1
FP008475 GPR26_1
FP005759 FABP7_1
FP011751 SYNGR3_1
FP006204 AUTS2_1
FP000027 MIB2_1
FP012958 MPP3_1
FP015631 IFT27_1
FP003812 MED28_1
FP006479 TES_1
FP010912 ZBTB25_1
FP016307 HS6ST2_1
FP000512 TOE1_1
FP005829 HIVEP2_1
FP005455 MDFI_1
FP016003 GPKOW_1
FP004525 RGS7BP_1
FP001468 SLC26A9_1
FP005924 TCP10L2_1
FP000642 IL23R_1
FP010028 LLPH_1
FP010276 CCDC60_1
FP010357 AACS_1
FP014557 RPL13A_1
FP009551 ACRBP_1
FP001804 DNAJC5G_1
FP011060 SLC24A4_1
FP009168 PAAF1_1
FP006780 NUDT18_1
FP008626 SMPD1_1
FP004328 ENPP6_1
FP012045 ZNF668_1
FP011544 CIB2_1
FP005456 TFEB_1
FP012755 SUZ12_1
FP005582 ADGRB3_1
FP013137 USP32_1
FP000995 S100A10_1
FP008678 TEAD1_1
FP004829 ZMAT2_1
FP001372 TROVE2_1
FP006547 PODXL_1
FP006674 GALNTL5_1
FP013015 TBKBP1_1
FP003019 SMARCC1_1
FP011573 STARD5_1
FP008809 DGKZ_1
FP001409 IPO9_1
FP007973 HACD1_1
FP007728 SLC25A25_1
FP011745 NDUFB10_1
FP001984 AAK1_1
FP000744 DR1_1
FP006116 STARD3NL_1
FP003931 TECRL_1
FP015922 TAB3_1
FP016200 RAB9B_1
FP006649 GIMAP6_1
FP012407 RNMTL1_1
FP014749 ZNF582_1
FP007774 FUBP3_1
FP002876 PP2D1_1
FP007752 CCBL1_1
FP006097 LSM5_1
FP009568 ENO2_1
FP013149 TLK2_1
FP007152 RNF139_1
FP015932 SRPX_1
FP000888 TRIM45_1
FP012191 AC040160_1
FP011695 NHLRC4_1
FP006069 HOXA10_1
FP014548 SLC6A16_1
FP003491 TM4SF1_1
FP007278 SPATA6L_1
FP008950 ZBTB3_1
FP013762 TNFAIP8L1_1
FP008617 TRIM6_1
FP013430 VAPA_1
FP004660 GIN1_1
FP001118 CCT3_1
FP004271 RXFP1_1
FP001366 BRINP3_1
FP014854 CPXM1_1
FP013132 TUBD1_1
FP012515 ASGR2_1
FP011328 SLC12A1_1
FP013291 RHBDF2_1
FP009637 ETV6_1
FP001351 COLGALT2_1
FP003658 P3H2_1
FP007081 PABPC1_1
FP008533 ATHL1_1
FP008841 TRIM49B_1
FP008477 CHST15_1
FP016194 TCEAL3_1
FP006039 FAM126A_1
FP015567 MTMR3_1
FP001389 LHX9_1
FP009987 DDIT3_1
FP012704 PIGS_1
FP012694 IFT20_1
