FP005348 fam120b_1
FP000039 kpnb3_1
FP002964 asb7_1
FP000350 trappc5_1
FP005510 fancl_1
FP004933 MPRIP-4_1
FP005058 mto1_1
FP004124 ercc1_1
FP010009 loh12cr1_1
FP003514 fnbp1l_1
FP003518 gclm_1
FP009448 asxl1_1
FP006904 INSM2_1
FP008562 arrdc1b_1
FP009611 plod2_1
FP007753 tra2a_1
FP002231 alkbh2_1
FP007644 mllt11_1
FP007015 wdr43_1
FP002280 cdk7_1
FP007431 tspan18b_1
FP003354 usp10_1
FP006705 ebag9_1
FP005259 pde6g-1_1
FP007476 fam214a_1
FP004337 hmgcs1_1
FP002649 DDX17_1
FP004283 ddx56_1
FP006436 gsk3ab_1
FP001758 myf5_1
FP008532 ZMAT1_1
FP005215 cpn1-2_1
FP008388 tram2_1
FP002250 dmrt2a_1
FP005114 gspt1_1
FP008837 ndufa2_1
FP003156 itga11a_1
FP008119 ptk2bb_1
FP005189 cbx1b_1
FP003188 psmc3_1
FP009939 ireb2_1
FP004506 PRKRIR-3_1
FP007821 e2f3_1
FP002010 KAT5-1_1
FP000743 cdh18_1
FP009777 tmtopsb_1
FP000085 fga_1
FP005116 snx29_1
FP010217 ch211-113a14.19-3_1
FP005276 wbp2_1
FP000933 per2_1
FP000867 NMNAT3_1
FP001974 usp30_1
FP000758 ctnnd2b_1
FP000427 acy3.1_1
FP001826 si:dkey-220a11.10_1
FP004820 ppcs_1
FP002335 lsmd1_1
FP006891 arid4a_1
FP004182 znf142_1
FP007738 hoxa9a-1_1
FP005540 sar1ab_1
FP002300 fer_1
FP005101 rangap1b_1
FP008300 tdrd6_1
FP005836 tmx2a_1
FP008505 ccni_1
FP001143 fam57ba_1
FP010101 fnbp4_1
FP008797 slc47a1_1
FP002963 aldh1a3_1
FP004281 aebp1_1
FP009743 dap_1
FP001157 gngt2a_1
FP007736 evx1-1_1
FP008145 dcun1d4_1
FP004971 ca15a_1
FP001998 VMA21_1
FP006475 ankib1b_1
FP006310 mff_1
FP006617 abcb4_1
FP004839 ugt1b1_1
FP003206 ncapg2_1
FP003226 cdh5_1
FP002177 alkbh6_1
FP004591 stambpa_1
FP008428 slc25a29_1
FP005968 mid1ip1l_1
FP001962 ankle2_1
FP003052 ptgr1_1
FP000712 fndc3ba_1
FP009973 zgc:101566_1
FP001680 prickle1b_1
FP002736 nipa1_1
FP005444 lzts2a_1
FP006203 sae1_1
FP000344 ddx39aa_1
FP005590 brf1a_1
FP006620 PLIN4_1
FP000476 zgc:65894_1
FP001113 tob1a_1
FP003419 seta_1
FP001545 cpsf6_1
FP005986 ccrn4la_1
FP007648 prcc_1
FP006161 alcamb_1
FP007696 ywhaz_1
FP008782 HEATR6_1
FP003424 lhx2b_1
FP008207 ino80_1
FP007025 srrm1_1
FP002349 FAM98C_1
FP003970 rgcc_1
FP006601 sec61b_1
FP001497 mfsd11_1
FP009177 cp_1
FP002549 cycsb_1
FP005801 slbp_1
FP009074 ssbp4_1
FP006683 snrnp48_1
FP004162 appb-1_1
FP000546 slc35d1b_1
FP005208 entpd1_1
FP002927 HIST2H4B-2_1
FP004296 pitpnb_1
FP000394 papss1_1
FP007474 caprin1b_1
FP005785 fgfrl1a_1
FP007548 mob2b_1
FP005877 tsc22d3_1
FP006798 FAM110D_1
FP004616 crybb1_1
FP006420 pip5k1ab_1
FP006484 rpl18_1
FP004965 eif3c_1
FP005626 map4k5_1
FP004020 crygm2d3_1
FP006472 mrpl13_1
FP002413 usp39_1
FP008534 pcsk1_1
FP000311 si:ch211-89o9.6_1
FP006673 zdhhc18a_1
FP009495 SNRPG_1
FP005784 wfs1b_1
FP002956 ino80b_1
FP002791 hemk1_1
FP000656 dnajc1_1
FP005472 PRIM2_1
FP009548 cyp2aa2_1
FP008585 gtf3c4_1
FP007683 tpm3_1
FP008784 traf4b_1
FP005110 csnk1e_1
FP004583 agpat6_1
FP005730 kazald2_1
FP006212 dhrs13b-1_1
FP005469 vps26a_1
FP004313 ubxn8_1
FP008557 fam129ba_1
FP009229 taz_1
FP000891 basp1_1
FP003072 cyp26b1_1
FP002563 stk24b_1
FP002958 f13a1b_1
FP008841 KIF4A_1
FP005633 syne2b_1
FP004779 FAM72B_1
FP008410 aida_1
FP008918 zgc:113336_1
FP009997 setd6_1
FP009300 si:dkey-147f3.8_1
FP006555 si:dkey-79d12.5_1
FP003456 irak1_1
FP009140 si:dkey-286j15.1_1
FP000998 amdhd2_1
FP005977 higd2a_1
FP008220 katnbl1_1
FP003824 KCTD9-2_1
FP005322 bag2_1
FP002819 ptgis_1
FP002423 vps33a_1
FP003937 itgav_1
FP000388 tsga10_1
FP000506 foxc1a_1
FP004416 xpo7_1
FP007582 twist1a_1
FP009121 capn8_1
FP000075 chtf18_1
FP000204 toporsa_1
FP009118 CAPN2-3_1
FP003617 suv39h1a_1
FP000478 RAC1-1_1
FP001582 zgc:113263_1
FP009989 TBC1D3G_1
FP007470 yap1_1
FP002061 tmem150a_1
FP007912 shfm1_1
FP002581 dnpep_1
FP008480 atp8b1_1
FP007870 stk3_1
FP000281 tmem184c_1
FP001953 COQ5_1
FP009126 xpnpep1_1
FP008289 stmn4_1
FP002646 si:dkey-19e4.5_1
FP009675 thtpa_1
FP007764 cndp2_1
FP009575 st8sia7.1_1
FP007602 rragcb_1
FP001534 arid2_1
FP008146 ociad1_1
FP001931 lztr1_1
FP010154 zgc:171759_1
FP009532 mul1b_1
FP009831 si:ch211-40k21.5_1
FP006476 fabp11b_1
FP001219 arhgdig_1
FP000166 KDM4C_1
FP005904 cab39l1_1
FP006058 kpna4_1
FP001109 kat2a_1
FP009979 mpped2_1
FP003178 cebpg_1
FP007269 tnni1c_1
FP005749 zgc:110843_1
FP010116 pdcd2l_1
FP008209 rhov_1
FP005374 prdx3_1
FP003665 capza1b_1
FP001183 st13_1
FP000081 mad1l1_1
FP005278 mrpl38_1
FP010213 H2AFY-3_1
FP008184 mthfd1l_1
FP001588 pou3f2a_1
FP005323 znf451_1
FP004089 spryd7b_1
FP002216 isl1_1
FP005782 smtnl1_1
FP009308 dnajc5ab_1
FP007068 lpin1_1
FP009887 rsl24d1_1
FP003497 itgb4_1
FP003151 slc39a13_1
FP002800 mst1ra_1
FP003917 EVA1C-4_1
FP003104 tmem9b_1
FP007384 ttc23_1
FP000325 timm10_1
FP003366 tollip_1
FP006228 zgc:152863_1
FP004550 uspl1_1
FP003809 naa35_1
FP008397 gphnb_1
FP000165 melk_1
FP009926 ap4e1_1
FP002073 histh1l_1
FP005570 rdh14a_1
FP003080 ap1s1_1
FP004294 ptpn11a_1
FP000045 spry2_1
FP006279 hmgb1b_1
FP002906 lpcat4_1
FP002362 ttf1_1
FP001483 si:ch211-165g14.1_1
FP000100 tmem66_1
FP007045 grhl3_1
FP005692 msh6_1
FP007027 rtn4ip1_1
FP000314 mogs_1
FP006927 fyna_1
FP000417 prdx2_1
FP006734 alkbh8_1
FP008360 mllt4_1
FP003047 acin1b_1
FP006749 nudt17_1
FP006502 ankrd28b_1
FP006767 smg5_1
FP002347 drl_1
FP007967 vps28_1
FP002940 zgc:165555-3_1
FP005326 gclc_1
FP002234 UBC_1
FP000644 glula_1
FP006905 nfkbiab_1
FP001930 CLDN22_1
FP005198 afap1l2_1
FP005181 spata20_1
FP003922 ing1_1
FP003349 rpl13_1
FP000090 TMEM55B-1_1
FP002429 dguok-1_1
FP004669 zgc:110377_1
FP004714 gas8_1
FP003049 mmp14a_1
FP007936 pum1_1
FP000702 oxsr1a_1
FP004388 nln_1
FP008504 ccng2_1
FP010039 zgc:101783_1
FP000168 anxa5b_1
FP008820 aff4_1
FP005791 plp1a_1
FP001193 nubp1_1
FP007304 klhl36_1
FP005460 nfkb2_1
FP004486 cblb_1
FP004646 srsf6b_1
FP001689 slc26a5_1
FP006131 flot2b_1
FP001423 cdc42ep4a_1
FP004186 snx4_1
FP004456 trim47_1
FP002357 adora2b_1
FP001504 pvalb5_1
FP002547 atp5g3b_1
FP003026 epo_1
FP005427 C13H10orf11_1
FP007371 morf4l1_1
FP008490 nup188_1
FP004958 coa3_1
FP005340 nolc1_1
FP003678 atoh1a_1
FP001387 lfng_1
FP007844 BAG6-2_1
FP009788 zmynd11_1
FP009471 ormdl2_1
FP004515 kctd7_1
FP006572 rbfa_1
FP005019 slc4a1b_1
FP004140 C9HXorf36_1
FP000595 scinlb_1
FP001706 dennd5b_1
FP004128 atp5o_1
FP006159 lim2.3_1
FP008676 sdf2_1
FP009652 chmp4c_1
FP004148 ildr1b_1
FP005378 si:ch211-117n7.8_1
FP000430 patl1_1
FP005768 znf711_1
FP008549 setb_1
FP003557 tab3_1
FP003016 cnpy4_1
FP006788 SEPT7_1
FP002360 TTF1-6_1
FP008196 chga_1
FP008198 tmem251_1
FP008699 rbm14a_1
FP000866 rbp1b_1
FP005275 DOCK1-1_1
FP009265 krt18_1
FP004831 ephb2b_1
FP008855 h2afy_1
FP003585 si:dkeyp-82a1.6_1
FP004963 tbx6_1
FP002850 pigu_1
FP008019 rars2_1
FP005650 hps1_1
FP004794 adipor1a_1
FP003574 rfx2_1
FP001807 fnta_1
FP009870 slc12a7b_1
FP010182 si:dkey-261m9.9_1
FP001249 si:dkey-66i24.8_1
FP004245 rad50_1
FP009912 prnprs3_1
FP004119 hspe1_1
FP009859 atp6v0cb_1
FP007247 eif2a_1
FP006004 nsd1a_1
FP000755 crispld1b_1
FP001383 card11_1
FP002982 elp4_1
FP006117 dhrs11b_1
FP001095 rpl19_1
FP000783 slc4a2a_1
FP010062 FBXO31_1
FP005550 si:ch211-223a10.1_1
FP001942 snrnp27_1
FP001388 snx8a_1
FP010169 zgc:194989_1
FP009004 ftcd_1
FP000148 tma16_1
FP009716 si:ch211-161h7.4_1
FP001206 rabep2_1
FP003967 slain1a_1
FP002383 zgc:114041_1
FP006391 elovl4a_1
