FP000717 Gm10538_1
FP013538 0610009L18Rik_1
FP012730 Abhd15_1
FP019863 Dgat2l6_1
FP016221 Ift27_1
FP011184 Rnf217_1
FP008214 KY467450_1
FP017922 Mrpl14_1
FP019984 Arl13a_1
FP008695 Phkg2_1
FP007821 Igflr1_1
FP004889 Prdm2_1
FP011327 Pald1_1
FP004177 Zfp37_1
FP017826 Abcf1_1
FP011331 Ppa1_1
FP019386 Pnliprp1_1
FP000777 Pkp1_1
FP002440 Bpifa5_1
FP004344 Dhcr24_1
FP012901 AK040752_1
FP011430 Prmt2_1
FP015926 AK033069_1
FP009159 Tti2_1
FP020117 Foxr2_1
FP004825 Pla2g2c_1
FP000408 Dnajb2_1
FP007232 Klrc3_1
FP017546 Rgs11_1
FP004997 Klhl21_1
FP006903 4933427D06Rik_1
FP019269 Chuk_1
FP019960 Mir361_1
FP014432 Hist1h3c_1
FP002192 Bcl2l11_1
FP010826 Camkv_1
FP005790 Ssh1_1
FP013956 Slc8a3_1
FP006937 Prickle2_1
FP019352 Smc3_1
FP015096 Gm10406_1
FP006884 Cnbp_1
FP014223 Apopt1_1
FP008072 Cyth2_1
FP000294 Nop58_1
FP005729 Gm15446_1
FP006809 Bola3_1
FP018266 Ccny_1
FP008493 Rpl27a_1
FP008323 Ccdc89_1
FP015535 Mcpt8_1
FP011783 Glipr1l2_1
FP014205 Cinp_1
FP012951 Car10_1
FP019771 Slc10a3_1
FP004823 Vwa5b1_1
FP004100 Baat_1
FP010359 Tmem266_1
FP007888 Cebpg_1
FP011653 AK018959_1
FP002031 Gm13986_1
FP002111 Serf2_1
FP005919 Atp2a2_1
FP009342 Tmem59l_1
FP006832 Emx1_1
FP006595 Gm5111_1
FP007014 Ghrl_1
FP013555 Arhgdia_1
FP011723 Cep83os_1
FP001294 Hacd1_1
FP017317 Gm1604b_1
FP010855 Ndufaf3_1
FP017071 C330027C09Rik_1
FP007379 Cacng7_1
FP007486 Trim28_1
FP019627 Usp26_1
FP017154 Adamts5_1
FP010633 Mrap2_1
FP007190 Tead4_1
FP003767 Clca4a_1
FP015970 Mir8097_1
FP011665 1700113H08Rik_1
FP004641 Sync_1
FP004532 Mir30e_1
FP018156 Crim1_1
FP012677 Srr_1
FP008375 Snord15a_1
FP017250 Ttc3_1
FP000199 Uxs1_1
FP019841 Las1l_1
FP017267 Pcp4_1
FP001505 Miga2_1
FP019340 Cfap58_1
FP013000 Igf2bp1_1
FP019333 Stn1_1
FP005378 Cpeb2_1
FP004277 Caap1_1
FP007940 Etfb_1
FP018851 Rnaseh2c_1
FP000331 Crygc_1
FP011757 Slc6a15_1
FP010969 Wdr48_1
FP011136 AK080063_1
FP002021 4930528P14Rik_1
FP006491 Luc7l2_1
FP008044 Lhb_1
FP001251 Camk1d_1
FP014783 Zfp759_1
FP001608 Pdcl_1
FP015222 Rft1_1
FP002845 Sirpb1a_1
FP007548 Psg26_1
FP018464 Pcdhga8_1
FP013985 Elmsan1_1
FP000006 Tcea1_1
FP005673 Zfp951_1
FP008922 Osbpl5_1
FP016289 Rps19bp1_1
FP012543 Efnb3_1
FP001963 Qser1_1
FP010921 Clasp2_1
FP002078 Mir7665_1
FP018377 Gfra3_1
FP018768 Aldh3b3_1
FP009566 Sall1_1
FP004869 Hspb7_1
FP001114 Acbd3_1
FP004821 Fam43b_1
FP010170 Ccdc15_1
FP007120 Clstn3_1
FP011410 Ggt1_1
FP009510 Calr_1
FP008541 1700003G18Rik_1
FP020060 Atg4a_1
FP011697 AK083030_1
FP018410 Slc4a9_1
FP011416 Gstt1_1
FP006729 Thnsl2_1
FP009306 Zfp930_1
FP005517 Noa1_1
FP019979 Tspan6_1
FP000935 Scyl3_1
FP005884 Oas1c_1
FP000668 R3hdm1_1
FP016026 Mal2_1
FP010502 Usp3_1
FP017700 Rgl2_1
FP000345 Cps1_1
FP015972 Ankrd46_1
FP002080 Pla2g4b_1
FP013999 Npc2_1
FP003661 1700006A11Rik_1
FP013847 AK179786_1
FP004111 Toporsl_1
FP013719 Dus4l_1
FP004419 Foxe3_1
FP012623 Rpain_1
FP006501 Mkrn1_1
FP009380 Babam1_1
FP002063 Dll4_1
FP020058 Vsig1_1
FP008554 Coq7_1
FP013796 Ppp2r3c_1
FP018060 Ndufa11_1
FP018322 Gm15972_1
FP013209 Becn1_1
FP002762 Mrgbp_1
FP005945 Rsrc2_1
FP012381 Hist3h2bb-ps_1
FP014325 Prl2c3_1
FP020127 Sat1_1
FP015288 Sncg_1
FP001881 Nr1h3_1
FP001778 4930441J16Rik_1
FP009651 Rrad_1
FP007473 Zfp551_1
FP005039 Morn1_1
FP014008 Rps6kl1_1
FP017532 Mettl26_1
FP010110 Vps26b_1
FP019635 Ccdc160_1
FP018515 Spink6_1
FP012958 Tob1_1
FP014194 Mir154_1
FP009262 AV026068_1
FP020164 Siah1b_1
FP012757 Aldoc_1
FP011903 Rdh19_1
FP002917 AK165361_1
FP014696 H2afy_1
FP006874 Gkn3_1
FP013627 Apob_1
FP002265 Cds2_1
FP012108 Commd1_1
FP000518 Trpm8_1
FP004476 Snord55_1
FP018715 Pstpip2_1
FP000636 Ralb_1
FP011499 Hcn2_1
FP003635 Cnn3_1
FP017666 Zfp811_1
FP009940 Irf2bp2_1
FP015879 Lifr_1
FP009879 2810013P06Rik_1
FP008197 Igf1r_1
FP019776 Gm38425_1
FP001409 Lcn9_1
FP017107 St3gal6_1
FP014480 Prl7a1_1
FP008130 Siglech_1
FP008943 Pex11g_1
FP015689 Chmp7_1
FP013504 Rbfox3_1
FP000762 Arl8a_1
FP001383 Abca2_1
FP002629 Sulf2_1
FP000939 Sell_1
FP009848 Foxc2_1
FP016092 Mir30d_1
FP016219 Eif3d_1
FP017082 Alcam_1
FP009687 Gm5914_1
FP004498 Elovl1_1
FP001621 Nr5a1_1
FP013855 4931403G20Rik_1
FP013494 Socs3_1
FP010822 AK078712_1
FP008167 Trpm1_1
FP017952 Pex6_1
FP006170 Snx8_1
FP001377 Man1b1_1
FP018796 Grk2_1
FP020055 Tsc22d3_1
FP017768 Mpig6b_1
FP002865 Hltf_1
FP014412 Hist1h3g_1
FP002746 Psma7_1
FP016403 Ttll8_1
FP015047 Gzmk_1
FP009025 Upf3a_1
FP019120 Jak2_1
FP014983 Taf9_1
FP005415 Rbpj_1
FP011831 Tmbim4_1
FP002025 G630016G05Rik_1
FP015547 Parp4_1
FP002943 Il21_1
FP015724 Rb1_1
FP018402 Ube2d2a_1
FP005504 Pdcl2_1
FP020043 Platr21_1
FP013707 2310016D03Rik_1
FP014062 1700019M22Rik_1
FP000330 Crygd_1
FP015216 Chdh_1
FP000138 Fam178b_1
FP017931 Xpo5_1
FP014624 Iars_1
FP005785 Sart3_1
FP000280 Als2cr12_1
FP016719 Mir1945_1
FP018680 Mbd2_1
FP013518 Endov_1
FP001776 Atf2_1
FP006257 Mtif3_1
FP004172 Mup19_1
FP015342 Cdkn3_1
FP017622 Rnf8_1
FP012830 Slfn3_1
FP019646 Etd_1
FP006243 Cyp3a44_1
FP005026 Prdm16_1
FP007891 Lrp3_1
FP006079 Ift22_1
FP003675 Ap1ar_1
FP013430 Mrps7_1
FP009218 Mtnr1a_1
FP019789 Cldn34b4_1
FP012975 Gm11541_1
FP016833 Vwa5b2_1
FP019791 Prkx_1
FP001986 Bdnf_1
FP016298 Slc25a17_1
FP005497 Gsx2_1
FP010561 Myo5a_1
FP002509 Manbal_1
FP001687 Cd302_1
FP010042 Cdc37_1
FP019944 2610002M06Rik_1
FP014832 Slc6a18_1
FP019526 Syn1_1
FP013108 Krt10_1
FP010610 Mei4_1
FP005762 Miat_1
FP017393 Zfp53_1
FP005009 Rnf207_1
FP010305 Timm8b_1
FP019145 Minpp1_1
FP012672 Pafah1b1_1
FP001553 St6galnac4_1
FP005140 4930572O03Rik_1
FP017886 9130008F23Rik_1
FP014668 Nsd1_1
FP011915 Gls2_1
FP017687 AK133808_1
FP016106 Mroh4_1
FP018246 Jcad_1
FP018625 Htr4_1
FP019240 Ankrd2_1
FP002299 Snrpb2_1
FP016532 Lima1_1
FP000483 Tex44_1
FP013975 Numb_1
FP017444 Tbc1d24_1
FP004707 Smpdl3b_1
FP018329 Galnt1_1
FP016693 Usp7_1
FP017031 Zdhhc23_1
FP010339 Elmod1_1
FP019400 Cacul1_1
FP001357 Noxa1_1
FP006636 Hoxa2_1
FP003267 Ints3_1
FP001346 Psd4_1
FP012846 Ccl3_1
FP020093 Itih5l-ps_1
FP020197 Zfy1_1
FP006916 Slc41a3_1
FP009550 N4bp1_1
FP006954 Lmod3_1
FP006607 Tmem176a_1
FP005784 Ficd_1
FP004289 Fggy_1
FP016354 Ttll1_1
FP005337 Cpz_1
FP016176 Slc52a2_1
FP008952 Pet100_1
FP008165 E030018B13Rik_1
FP015422 AK050592_1
FP002264 KY467898_1
FP017328 Qk_1
FP010975 Ccr8_1
FP002892 Mannr_1
FP019893 Hdac8_1
FP005603 Art3_1
FP006691 Fam13a_1
FP011564 Plekhj1_1
FP002961 AK078307_1
FP007457 Zfp28_1
FP000931 Fmo3_1
FP000763 Gpr37l1_1
FP017587 Fance_1
FP006183 Ap5z1_1
FP011397 AK076771_1
FP003885 Lrrc69_1
FP019083 Smc5_1
FP016992 Eaf2_1
FP017703 B3galt4_1
FP018733 Zfp236_1
FP011855 Fam19a2_1
FP017985 Trem3_1
FP017937 Zfp318_1
FP010768 Glyctk_1
FP007670 Lipe_1
FP012223 Sox30_1
FP012097 Peli1_1
FP020156 Syap1_1
FP018057 Catsperd_1
FP019125 Pdcd1lg2_1
FP015668 Ebf2_1
FP007332 AK039595_1
FP007580 Ppm1n_1
FP002780 Ppdpf_1
FP011922 Stat2_1
FP000988 AK198669_1
FP017813 Ddr1_1
FP017849 H2-M1_1
FP012226 Nipal4_1
FP002591 Wfdc6b_1
FP006747 Atoh8_1
FP018982 Fth1_1
FP013282 Arhgap27os3_1
FP014584 Jarid2_1
FP015789 Lmo7_1
FP014601 AK039372_1
FP000135 Ankrd23_1
FP018569 Tex43_1
FP002068 Oip5_1
FP017084 Nxpe3_1
FP011689 1500026H17Rik_1
FP017856 Rnf39_1
FP016703 Clec16a_1
FP013752 Etv1_1
FP009548 Gm10638_1
FP003319 Lce3b_1
FP018952 Nxf1_1
FP012847 Ccl4_1
FP005151 Tmem60_1
FP012292 D930048N14Rik_1
FP012170 Ubtd2_1
FP010393 Csk_1
FP017918 Slc29a1_1
FP006532 Try10_1
FP019648 Rtl8a_1
FP008145 Snurf_1
FP003432 Polr3c_1
FP012477 Cox10_1
FP003950 Cga_1
FP002443 Bpifb9a_1
FP016057 Mtss1_1
FP002876 Ect2_1
FP007683 Hnrnpul1_1
FP009463 Zfp330_1
FP008753 Ikzf5_1
FP009706 Dpep2_1
FP010143 Pus3_1
FP009094 Smim19_1
FP016640 Gtsf2_1
FP001266 9230102O04Rik_1
FP018904 Slc22a12_1
FP015331 Gpr137c_1
FP012080 Ppp3r1_1
FP007185 Cracr2a_1
FP002806 Hnf4g_1
FP014094 Rin3_1
FP011611 Gna15_1
FP011018 Kif15_1
FP007186 Prmt8_1
FP013202 Cntnap1_1
FP002232 Avp_1
FP004421 Stil_1
FP015475 Acin1_1
FP014540 Cdyl_1
FP017833 Gm6034_1
FP015590 Mipep_1
FP003689 Col25a1_1
FP019991 Timm8a1_1
FP012824 Slfn9_1
FP000531 Ackr3_1
FP017975 Frs3os_1
FP006400 Arf5_1
FP012251 Btnl9_1
FP017763 Vwa7_1
FP006343 A430035B10Rik_1
FP000456 Dner_1
FP015616 Ctsb_1
FP010959 Slc22a13_1
FP008386 Kcne3_1
FP005760 E130006D01Rik_1
FP017502 Unkl_1
FP008524 Rassf10_1
FP009470 Scoc_1
FP001222 Cd34_1
FP018488 9630014M24Rik_1
FP012670 Ccdc92b_1
FP007491 Cabp5_1
FP013203 Ezh1_1
FP010136 Tirap_1
FP010418 Bbs4_1
FP016280 Cbx7_1
FP006791 Htra2_1
FP011909 Naca_1
FP000984 Ccdc190_1
FP004315 Raver2_1
FP012795 5730455P16Rik_1
FP012906 Tex14_1
FP008821 Sprn_1
FP006407 Impdh1_1
FP018001 Rftn1_1
FP016938 Muc4_1
FP019230 Lcor_1
FP004406 Slc5a9_1
FP018573 Megf10_1
FP002284 Ankef1_1
FP017379 Lnpep_1
FP014586 Mylip_1
FP007037 H1foo_1
FP005344 Afap1_1
FP002216 Tgm6_1
FP017681 Adamts10_1
FP016319 4930407I10Rik_1
FP015116 Fhit_1
FP005354 Mrfap1_1
FP013508 Cbx4_1
FP008730 Tial1_1
FP017122 Cggbp1_1
FP008735 Plpp4_1
FP004200 Whrn_1
FP018741 Cndp2_1
FP007135 Usp5_1
FP019247 Zfyve27_1
FP013363 Amz2_1
FP012102 Otx1_1
FP020196 1700020D14Rik_1
FP003388 Prpf3_1
FP014971 Bdp1_1
FP012902 Trim37_1
FP011163 Gm9767_1
FP019740 Dusp9_1
FP004850 Padi3_1
FP019074 Gda_1
FP012164 Nprl3_1
FP009650 Cdh16_1
FP009220 Klkb1_1
FP001960 Cstf3_1
FP000626 Cdh19_1
FP012352 Mir7652_1
FP006337 Asns_1
FP006797 AK161590_1
FP003802 Zzz3_1
FP012526 Borcs6_1
FP005092 Fam133b_1
FP003852 Rab2a_1
FP012174 Smim23_1
FP013480 Sec14l1_1
FP016421 Tymp_1
FP000053 Ly96_1
FP016072 Gsdmc3_1
FP010837 Apeh_1
FP010619 Elovl4_1
FP010201 Ubash3b_1
FP015003 KY467679_1
FP014860 Ttc37_1
FP011166 L3mbtl3_1
FP003532 Chil3_1
FP003722 Emcn_1
FP019097 Dock8_1
FP010528 Sltm_1
FP009743 Ist1_1
FP001335 Mastl_1
FP010797 Mapkapk3_1
FP005569 Gc_1
FP004134 Tmem245_1
FP008002 Akt1s1_1
FP005973 Ccdc92_1
FP000061 Defb41_1
FP019165 Ifit1bl1_1
FP014208 Rcor1_1
FP006792 Aup1_1
FP006077 Myl10_1
FP019778 Dkc1_1
FP009264 5033428I22Rik_1
FP019477 Otc_1
FP015552 Zmym2_1
FP014513 Serpinb1b_1
FP006715 Il12rb2_1
FP018647 Cplx4_1
FP010296 Ttc12_1
FP016662 Glis2_1
FP017375 Zfp960_1
FP005408 Pi4k2b_1
FP015150 Ecd_1
FP009202 Adam39_1
FP012551 Mpdu1_1
FP008438 Usp17lc_1
FP000492 Prss56_1
FP002474 Mmp24_1
FP016742 Myh11_1
FP010744 Bfsp2_1
FP002315 Polr3f_1
FP018939 Slc22a27_1
FP003967 Mir207_1
FP014470 Prl3b1_1
FP011562 Ap3d1_1
FP005589 Parm1_1
FP005434 Wdr19_1
FP000627 Dsel_1
FP004802 Zbtb40_1
FP009906 Rab4a_1
FP002314 Dzank1_1
FP009609 Ccdc102a_1
FP015433 DQ340292_1
FP019916 Magee2_1
FP018898 Map4k2_1
FP016105 Adgrb1_1
FP013023 Cbx1_1
FP006312 Bet1_1
FP002624 Trp53rka_1
FP020139 Eif1ax_1
FP008610 Slc5a11_1
FP007641 Phldb3_1
FP000996 Atf6_1
FP011834 Hmga2_1
FP001906 Slc35c1_1
FP011490 Theg_1
FP014221 Trmt61a_1
FP005229 Insig1_1
FP002441 Bpifb1_1
FP013359 Gna13_1
FP001334 Acbd5_1
FP007728 Fbl_1
FP009898 Afg3l1_1
FP016436 Kif21a_1
FP003542 AK080695_1
FP009464 Rnf150_1
